time,open,high,low,close,EMA #1,EMA #2,EMA #3,EMA #4,EMA #5
2025-08-11T13:36:00-04:00,24218.25,24218.5,24207.75,24208.5,24219.397819192374,24220.195753518994,24221.66493171125,24224.399535366498,24228.746489789766
2025-08-11T13:38:00-04:00,24209,24210.25,24194.75,24202,24214.198909596187,24216.46383567933,24218.850502442085,24222.199601742712,24226.951354354333
2025-08-11T13:40:00-04:00,24202.5,24203.5,24184.25,24201.25,24208.349454798095,24211.80922378622,24215.217057454956,24219.385372922323,24224.728503958486
2025-08-11T13:42:00-04:00,24201,24201.25,24190.25,24196.5,24204.674727399048,24208.206149190813,24212.057711353857,24216.758891076275,24222.57136723499
2025-08-11T13:44:00-04:00,24196.75,24202.5,24191,24192,24200.712363699524,24204.387432793876,24208.655997719667,24213.900478065378,24220.223970213625
2025-08-11T13:46:00-04:00,24191.75,24201.75,24181.75,24200.5,24196.231181849762,24200.17495519592,24204.89910933752,24210.73612405604,24217.635427466932
2025-08-11T13:48:00-04:00,24200.25,24204.5,24197.75,24200.25,24198.24059092488,24200.199970130612,24203.86597392918,24209.23810633375,24216.05493406085
2025-08-11T13:50:00-04:00,24200,24202.75,24190.75,24197.5,24199.12029546244,24200.133313420407,24203.006868611585,24207.9183768575,24214.595394600772
2025-08-11T13:52:00-04:00,24197.5,24197.5,24189.75,24190.5,24198.31014773122,24199.255542280272,24201.783120031232,24206.43003730643,24213.041267818884
2025-08-11T13:54:00-04:00,24190.5,24196.75,24185.5,24189.25,24194.405073865608,24196.33702818685,24199.27576002429,24204.154317691224,24210.99206165353
2025-08-11T13:56:00-04:00,24189,24194.75,24187,24189.75,24191.702536932804,24193.891352124567,24196.99225779667,24201.989415163906,24208.99278332139
2025-08-11T13:58:00-04:00,24189.75,24190.75,24179.5,24188.75,24190.726268466402,24192.51090141638,24195.38286717519,24200.240927283347,24207.243439383084
2025-08-11T14:00:00-04:00,24189,24192.25,24174.75,24180.75,24189.8631342332,24191.34060094425,24193.96445224737,24198.635080528584,24205.58494489371
2025-08-11T14:02:00-04:00,24181,24188.75,24172.5,24174.25,24185.4315671166,24187.893733962836,24191.083462859067,24196.115783310215,24203.349949903375
2025-08-11T14:04:00-04:00,24174.25,24177.75,24166.5,24168,24179.8407835583,24183.34582264189,24187.34269333483,24192.992099980183,24200.70449991216
2025-08-11T14:06:00-04:00,24168,24182,24168,24178.25,24173.92039177915,24178.230548427928,24183.044317038202,24189.421799983014,24197.73136355651
2025-08-11T14:08:00-04:00,24178.75,24179.25,24173,24178,24176.335195889573,24178.40369895195,24182.090024363046,24187.897257128297,24196.005785051373
2025-08-11T14:10:00-04:00,24178.25,24182.5,24167.25,24181.25,24177.292597944786,24178.352465967968,24181.236685615702,24186.51907753854,24194.391622773976
2025-08-11T14:12:00-04:00,24180.75,24186.25,24174.5,24185,24179.021298972395,24179.151643978646,24181.12853325666,24185.694923604464,24193.15147524907
2025-08-11T14:14:00-04:00,24184.5,24188.5,24182.5,24187.5,24181.760649486198,24180.9344293191,24181.87774808851,24185.524220232397,24192.364977499154
2025-08-11T14:16:00-04:00,24187.75,24189.75,24176,24176.75,24184.7553247431,24183.20628621273,24183.18269295773,24185.842188770624,24191.94543409014
2025-08-11T14:18:00-04:00,24177,24184,24175.25,24177,24180.87766237155,24181.13752414182,24181.808761189346,24184.57901894625,24190.586758263762
